"Outcome","ATE","SE","CI_low","CI_high","z","p","p_bh"
"big5_mean_auc_diff",12310.98544634,6387.00268695153,-207.309789245583,24829.2806819255,1.92750591313997,0.0539166118540146,0.593082730394161
"big5_mean_init_time",124.076593328899,132.882450387857,-136.368223608731,384.521410266528,0.933731978652896,0.350442164949422,0.792892356258073
"big5_mean_max_deviation",16.8152778310639,18.2679087072949,-18.9891653080998,52.6197209702277,0.920481818717928,0.357321029773709,0.792892356258073
"big5_mean_y_flips",0.369023647223846,0.422808018383435,-0.459664841182435,1.19771213563013,0.872792452316236,0.382776214310381,0.792892356258073
"big5_mean_x_axis_vel",0.0308448280083367,0.0242802623980044,-0.0167436118269341,0.0784332678436075,1.2703663371806,0.203954168386942,0.792892356258073
"big5_mean_x_axis_acc",1.24327003737192e-05,1.58389763823847e-05,-1.86111228877353e-05,4.34765236351736e-05,0.784943425229564,0.432486739777131,0.792892356258073
"big5_mean_react_time",-132.184155819229,306.733487508182,-733.370744187632,469.002432549173,-0.43094139115053,0.666510986345485,0.814624538866703
"big5_mean_y_axis_vel",0.00507412125465704,0.00982423179376088,-0.0141810192368876,0.0243292617462017,0.516490384304601,0.605511953120559,0.814624538866703
"big5_mean_acc",9.21762630422976e-06,1.85104690036252e-05,-2.70622262798206e-05,4.54974788882801e-05,0.497968274192541,0.618506403780659,0.814624538866703
"big5_mean_x_flips",0.0468205604854254,0.368633604713144,-0.675688028243511,0.769329149214362,0.12701110231624,0.898931611340207,0.902449758078705
"big5_mean_y_axis_acc",-1.00816288871695e-06,8.22538289494493e-06,-1.71296171218608e-05,1.51132913444269e-05,-0.122567289765506,0.902449758078705,0.902449758078705
